track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 4th August 2025 16:00,2025-08-04,16:00,Good (Good To Yielding In Places),2m 2f 100y,Mozzies Sister (IRE),Mr Alan O'Sullivan,7,D Queally,2nd,1 1/2 l,6,11-1,132,True,10,1
Cork Racing Results | 4th August 2025 16:00,2025-08-04,16:00,Good (Good To Yielding In Places),2m 2f 100y,Smooth Tom (IRE),C M Quirke,0,A Slattery,1st,N/A,6,11-12v,140,True,10,1
Cork Racing Results | 4th August 2025 16:00,2025-08-04,16:00,Good (Good To Yielding In Places),2m 2f 100y,Mozzies Sister (IRE),Mr Alan O'Sullivan,7,D Queally,2nd,1 1/2 l,6,11-1,132,True,10,1
Cork Racing Results | 4th August 2025 16:00,2025-08-04,16:00,Good (Good To Yielding In Places),2m 2f 100y,Smooth Tom (IRE),C M Quirke,0,A Slattery,1st,N/A,6,11-12v,140,True,10,1
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Cathryns Ruby (IRE),A Harvey,5,P T Foley,UR,N/A,8,11-7t1,103,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Rut Daniels (IRE),C M Quirke,0,D H Kelly,12th,33 l,6,11-6t,102,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Ask The Bookie (IRE),D King,0,G Scott,11th,20 l,8,11-4,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Rhythmic Tune (IRE),L A McKenna,5,M A Molloy,10th,4 3/4 l,6,10-11,93,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Sharetheknowledge (IRE),D J O'Keeffe,0,Paul Tobin,9th,9 l,6,11-4t,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Answering (IRE),Mr D Doyle,7,T Doyle,8th,2 1/2 l,10,11-5b,101,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Smackwater Jack (IRE),E Walsh,0,Mrs D Foster,7th,2 l,11,11-0,96,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Duke Otto (IRE),P T Smithers,7,P J Flynn,6th,2 1/2 l,7,11-12,108,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Sea Road Fill (IRE),P T Enright,0,D Collins,5th,2 1/4 l,8,10-9,91,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Seeitoldya,R J Condon,5,Miss Ellmarie Holden,4th,Neck,4,11-8,107,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Smiling Bess (IRE),D Meyler,0,R O'Sullivan,3rd,7 l,6,11-5,101,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Warm In Gorey (IRE),T Power Roche,5,P J Rothwell,2nd,1/2 l,7,11-4p,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Young Lucy (IRE),Mr D O'Connor,0,A J Martin,1st,N/A,6,11-8t,104,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Cathryns Ruby (IRE),A Harvey,5,P T Foley,UR,N/A,8,11-7t1,103,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Rut Daniels (IRE),C M Quirke,0,D H Kelly,12th,33 l,6,11-6t,102,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Ask The Bookie (IRE),D King,0,G Scott,11th,20 l,8,11-4,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Rhythmic Tune (IRE),L A McKenna,5,M A Molloy,10th,4 3/4 l,6,10-11,93,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Sharetheknowledge (IRE),D J O'Keeffe,0,Paul Tobin,9th,9 l,6,11-4t,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Answering (IRE),Mr D Doyle,7,T Doyle,8th,2 1/2 l,10,11-5b,101,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Smackwater Jack (IRE),E Walsh,0,Mrs D Foster,7th,2 l,11,11-0,96,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Duke Otto (IRE),P T Smithers,7,P J Flynn,6th,2 1/2 l,7,11-12,108,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Sea Road Fill (IRE),P T Enright,0,D Collins,5th,2 1/4 l,8,10-9,91,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Seeitoldya,R J Condon,5,Miss Ellmarie Holden,4th,Neck,4,11-8,107,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Smiling Bess (IRE),D Meyler,0,R O'Sullivan,3rd,7 l,6,11-5,101,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Warm In Gorey (IRE),T Power Roche,5,P J Rothwell,2nd,1/2 l,7,11-4p,100,True,10,2
Cork Racing Results | 4th August 2025 16:30,2025-08-04,16:30,Good (Good To Yielding In Places),2m 2f 100y,Young Lucy (IRE),Mr D O'Connor,0,A J Martin,1st,N/A,6,11-8t,104,True,10,2
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Subpoena,Mr C J Shine,7,Leonard Flynn,10th,19 l,6,11-7h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Shannonvale (IRE),Mr L Burke-Ott,7,A Ott,9th,32 l,6,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Silly Mongoose (IRE),Mr Alan O'Sullivan,7,P T Foley,8th,26 l,4,11-11h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Butch Coolidge (IRE),Mr P A King,5,D H Kelly,7th,1/2 l,5,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,How's The Head (IRE),Miss J Townend,0,T Townend,6th,Head,6,12-0h1,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Court Canyon (IRE),Mr D G Lavery,0,G P Cromwell,5th,3 1/4 l,5,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Walks The Talk (IRE),Mr F R Buckley,7,J C McConnell,4th,1/2 l,6,11-7h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Crossroads (IRE),Mr A P Ryan,5,Edward F Power,3rd,5 l,6,12-0h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,St Lawrence's Well (IRE),Mr D L Queally,0,D Queally,2nd,4 1/4 l,5,12-0h1,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Passenger (IRE),Mr F Maguire,0,D K Weld,1st,N/A,6,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Subpoena,Mr C J Shine,7,Leonard Flynn,10th,19 l,6,11-7h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Shannonvale (IRE),Mr L Burke-Ott,7,A Ott,9th,32 l,6,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Silly Mongoose (IRE),Mr Alan O'Sullivan,7,P T Foley,8th,26 l,4,11-11h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Butch Coolidge (IRE),Mr P A King,5,D H Kelly,7th,1/2 l,5,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,How's The Head (IRE),Miss J Townend,0,T Townend,6th,Head,6,12-0h1,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Court Canyon (IRE),Mr D G Lavery,0,G P Cromwell,5th,3 1/4 l,5,12-0,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Walks The Talk (IRE),Mr F R Buckley,7,J C McConnell,4th,1/2 l,6,11-7h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Crossroads (IRE),Mr A P Ryan,5,Edward F Power,3rd,5 l,6,12-0h,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,St Lawrence's Well (IRE),Mr D L Queally,0,D Queally,2nd,4 1/4 l,5,12-0h1,-,True,10,3
Cork Racing Results | 4th August 2025 17:00,2025-08-04,17:00,Good (Good To Yielding In Places),2m 2f 100y,Passenger (IRE),Mr F Maguire,0,D K Weld,1st,N/A,6,12-0,-,True,10,3
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Shoney (IRE),J Pietropaolo,7,Maurice Ahern,5th,17 l,3,9-4,71,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Letherfly (IRE),C D Hayes,0,N Meade,4th,3 1/4 l,4,9-8,87,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Zuheila (IRE),B M Coen,0,J P Murtagh,3rd,2 1/4 l,3,9-4,-,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Kodilicious (IRE),S Foley,0,Mrs J Harrington,2nd,1/2 l,3,9-4b1,89,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Bonus Time (IRE),C T Keane,0,P Twomey,1st,N/A,3,9-4t,92,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Shoney (IRE),J Pietropaolo,7,Maurice Ahern,5th,17 l,3,9-4,71,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Letherfly (IRE),C D Hayes,0,N Meade,4th,3 1/4 l,4,9-8,87,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Zuheila (IRE),B M Coen,0,J P Murtagh,3rd,2 1/4 l,3,9-4,-,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Kodilicious (IRE),S Foley,0,Mrs J Harrington,2nd,1/2 l,3,9-4b1,89,True,10,4
Naas Racing Results | 4th August 2025 13:46,2025-08-04,13:46,Good To Yielding,5f 205y,Bonus Time (IRE),C T Keane,0,P Twomey,1st,N/A,3,9-4t,92,True,10,4
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Heartwarmer,Neve Bennett,7,W T Farrell,14th,9 l,4,9-3,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Laugh A Minute,J Kearney,3,Stephen Thorne,13th,4 1/2 l,10,9-8,84,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Dandyville (IRE),J A Heffernan,0,S R B Crawford,12th,3/4 l,7,9-9,85,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Sparkling Sea (IRE),C T Keane,0,G M Lyons,11th,3 1/2 l,3,10-0,94,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Jered Maddox,C Cusack,7,D Marnane,10th,4 3/4 l,9,9-0,76,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Dmaniac,M W Hassett,3,M Hassett,9th,3/4 l,3,8-9,75,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Never Shout Never (IRE),W M Lordan,0,Stephen Thorne,8th,Head,5,8-12t,74,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Nouvel Espoir (IRE),S A Wallace,7,J Barcoe,7th,2 l,5,8-7,69,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Saturn Seven (IRE),C D Hayes,0,E Lynam,6th,Head,5,8-8,70,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Jon Riggens (IRE),B M Coen,0,E Lynam,5th,1 3/4 l,7,9-3tp,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Tropical Retreat (IRE),S Foley,0,T Mullins,4th,1/2 l,3,8-13,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Genesis (IRE),W Joyce,3,M Mulvany,3rd,1/2 l,4,8-9t,71,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Betsen,J J G Ryan,0,J Davison,2nd,1 1/2 l,4,9-11,87,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Mint Man,L F Roche,0,P J F Murphy,1st,N/A,4,8-9t,71,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Heartwarmer,Neve Bennett,7,W T Farrell,14th,9 l,4,9-3,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Laugh A Minute,J Kearney,3,Stephen Thorne,13th,4 1/2 l,10,9-8,84,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Dandyville (IRE),J A Heffernan,0,S R B Crawford,12th,3/4 l,7,9-9,85,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Sparkling Sea (IRE),C T Keane,0,G M Lyons,11th,3 1/2 l,3,10-0,94,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Jered Maddox,C Cusack,7,D Marnane,10th,4 3/4 l,9,9-0,76,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Dmaniac,M W Hassett,3,M Hassett,9th,3/4 l,3,8-9,75,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Never Shout Never (IRE),W M Lordan,0,Stephen Thorne,8th,Head,5,8-12t,74,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Nouvel Espoir (IRE),S A Wallace,7,J Barcoe,7th,2 l,5,8-7,69,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Saturn Seven (IRE),C D Hayes,0,E Lynam,6th,Head,5,8-8,70,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Jon Riggens (IRE),B M Coen,0,E Lynam,5th,1 3/4 l,7,9-3tp,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Tropical Retreat (IRE),S Foley,0,T Mullins,4th,1/2 l,3,8-13,79,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Genesis (IRE),W Joyce,3,M Mulvany,3rd,1/2 l,4,8-9t,71,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Betsen,J J G Ryan,0,J Davison,2nd,1 1/2 l,4,9-11,87,True,10,5
Naas Racing Results | 4th August 2025 14:16,2025-08-04,14:16,Good To Yielding,5f 205y,Mint Man,L F Roche,0,P J F Murphy,1st,N/A,4,8-9t,71,True,10,5
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Hell Left Loose,A J Casey,7,D Hogan,UR,N/A,9,8-10tp,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Shimmerz (IRE),Neve Bennett,7,C O'Brien,17th,2 3/4 l,7,8-10h,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,16th,Neck,8,10-0,58,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Kodi Brown (IRE),Orla Tynan,7,A Slattery,15th,1/2 l,3,9-11,59,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Theriverrunsdeep (IRE),P McGettigan,4,S G O'Donnell,14th,Neck,9,9-3b,47,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Plastic Paddy,A S Grant,7,Tom McGuinness,13th,1 l,7,10-2h,60,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,He's Justagent (IRE),R M Mulligan,4,Paul Mulligan,12th,1/2 l,5,8-10p,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Hastily,J Cleary,2,Tom McGuinness,11th,2 3/4 l,6,9-5p,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Razzam (IRE),D J O'Connor,7,H D McGuigan,10th,1 1/2 l,5,10-0p,58,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Lismacbryan Hill (IRE),J Kearney,0,P Magee,9th,1/2 l,4,9-2tb1,46,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Ballysax Lil' Mick (IRE),M Popan,7,Miss K Brown,8th,1/2 l,7,9-1p,45,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Distillate,S Coen,4,A McGuinness,7th,Nose,5,9-12t,56,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,An Laochmor (IRE),Nicola Burns,4,J G Coogan,6th,Short Head,4,9-5v,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Jackie Brown (IRE),J S Dalton,7,A J Martin,5th,1 3/4 l,5,9-3t,47,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Lismacbryan (IRE),K G Kennedy,2,P Cluskey,4th,2 1/2 l,4,9-2,46,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Dinamine (IRE),W Joyce,0,M Mulvany,3rd,Head,7,9-5,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Von Krolock (IRE),M W Hassett,0,T Doyle,2nd,3/4 l,6,9-8p,52,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Annie Lavinia (IRE),Sorcha Woods,7,E Lynam,1st,N/A,3,9-7tp,55,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Hell Left Loose,A J Casey,7,D Hogan,UR,N/A,9,8-10tp,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Shimmerz (IRE),Neve Bennett,7,C O'Brien,17th,2 3/4 l,7,8-10h,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,16th,Neck,8,10-0,58,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Kodi Brown (IRE),Orla Tynan,7,A Slattery,15th,1/2 l,3,9-11,59,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Theriverrunsdeep (IRE),P McGettigan,4,S G O'Donnell,14th,Neck,9,9-3b,47,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Plastic Paddy,A S Grant,7,Tom McGuinness,13th,1 l,7,10-2h,60,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,He's Justagent (IRE),R M Mulligan,4,Paul Mulligan,12th,1/2 l,5,8-10p,40,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Hastily,J Cleary,2,Tom McGuinness,11th,2 3/4 l,6,9-5p,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Razzam (IRE),D J O'Connor,7,H D McGuigan,10th,1 1/2 l,5,10-0p,58,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Lismacbryan Hill (IRE),J Kearney,0,P Magee,9th,1/2 l,4,9-2tb1,46,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Ballysax Lil' Mick (IRE),M Popan,7,Miss K Brown,8th,1/2 l,7,9-1p,45,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Distillate,S Coen,4,A McGuinness,7th,Nose,5,9-12t,56,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,An Laochmor (IRE),Nicola Burns,4,J G Coogan,6th,Short Head,4,9-5v,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Jackie Brown (IRE),J S Dalton,7,A J Martin,5th,1 3/4 l,5,9-3t,47,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Lismacbryan (IRE),K G Kennedy,2,P Cluskey,4th,2 1/2 l,4,9-2,46,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Dinamine (IRE),W Joyce,0,M Mulvany,3rd,Head,7,9-5,49,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Von Krolock (IRE),M W Hassett,0,T Doyle,2nd,3/4 l,6,9-8p,52,True,10,6
Naas Racing Results | 4th August 2025 14:46,2025-08-04,14:46,Good To Yielding,5f 205y,Annie Lavinia (IRE),Sorcha Woods,7,E Lynam,1st,N/A,3,9-7tp,55,True,10,6
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Bearwithus (IRE),P McGettigan,7,J M Barrett,16th,17 l,3,9-3v1,65,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Goldsmith (IRE),J A Heffernan,0,H D McGuigan,15th,24 l,6,9-6h,62,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Great Mover (IRE),N M Crosse,0,W McCreery,14th,Short Head,3,9-5,67,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Are You In Or Out (IRE),Sadhbh Tormey,10,P Stafford,13th,1/2 l,4,9-9,65,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Proleek Prince (IRE),R M Mulligan,7,M Rice,12th,1 1/4 l,5,10-2t,72,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Port Louis (IRE),C T Keane,0,N Meade,11th,1 1/4 l,4,10-1b,71,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Cecco (USA),J M Sheridan,0,J A Stack,10th,Head,3,9-10,72,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Martinelli (IRE),P A Harnett,5,K P Cotter,9th,Head,4,10-1b1,71,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Rising Sky (IRE),G M Ryan,0,A McCann,8th,2 1/2 l,3,9-0,62,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Dynamic Force (IRE),J J G Ryan,0,T G McCourt,7th,Neck,6,9-12,68,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Ferrybank,S O'Callaghan,5,T M Walsh,6th,1/2 l,7,9-13eb1,69,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Clever And Classy (IRE),D P McDonogh,0,J S Bolger,5th,3/4 l,3,9-0,62,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Secret Magician (IRE),M W Hassett,3,M Hassett,4th,1 1/4 l,6,9-11tp,67,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Verhoyen,D McMonagle,0,M C Grassick,3rd,1/2 l,10,10-0b,70,True,10,7
Naas Racing Results | 4th August 2025 15:16,2025-08-04,15:16,Good To Yielding,7f,Touted Plan (IRE),G F Carroll,0,J G Murphy,2nd,Nose,3,8-13,61,True,10,7
