track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,J J Jumbo (SWE),Ben Martin Coen,0,Darren Bunyan,10th,Neck,3,8-13p,82,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Forca Brasil (IRE),S. P. Davis,0,Adrian Murray,9th,4 3/4 l,3,8-9,78,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Hernes Hill,Siobhan Rutledge,5,John McConnell,8th,1 3/4 l,3,8-10t,79,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Speedacus (IRE),Declan McDonogh,0,Kieran Patrick Cotter,7th,2 1/2 l,3,8-11,80,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Marsa (IRE),D. E. Sheehy,3,Edward Lynam,6th,Head,3,8-9,78,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Superior Force,G. P. Halpin,0,Adrian Murray,5th,1/2 l,3,8-11,80,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Dairerin (IRE),N. G. McCullagh,0,Mrs J. Harrington,4th,1/2 l,3,8-10,79,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Areille (IRE),J. M. Sheridan,3,K. J. Condon,3rd,1 3/4 l,3,8-8,77,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Andreas Vesalius (IRE),J. Coen,7,Joseph Patrick O'Brien,2nd,Neck,3,10-2,99,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Sablonne,Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-7p,90,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,J J Jumbo (SWE),Ben Martin Coen,0,Darren Bunyan,10th,Neck,3,8-13p,82,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Forca Brasil (IRE),S. P. Davis,0,Adrian Murray,9th,4 3/4 l,3,8-9,78,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Hernes Hill,Siobhan Rutledge,5,John McConnell,8th,1 3/4 l,3,8-10t,79,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Speedacus (IRE),Declan McDonogh,0,Kieran Patrick Cotter,7th,2 1/2 l,3,8-11,80,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Marsa (IRE),D. E. Sheehy,3,Edward Lynam,6th,Head,3,8-9,78,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Superior Force,G. P. Halpin,0,Adrian Murray,5th,1/2 l,3,8-11,80,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Dairerin (IRE),N. G. McCullagh,0,Mrs J. Harrington,4th,1/2 l,3,8-10,79,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Areille (IRE),J. M. Sheridan,3,K. J. Condon,3rd,1 3/4 l,3,8-8,77,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Andreas Vesalius (IRE),J. Coen,7,Joseph Patrick O'Brien,2nd,Neck,3,10-2,99,True,5,1
Naas Racing Results | 22nd June 2022 18:40,N/A,18:40,Good (Good To Firm In Places),5f 205y,Sablonne,Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-7p,90,True,5,1
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Kiss You Later (IRE),Seamie Heffernan,0,Aidan O'Brien,11th,1 1/2 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,One for Bobby (IRE),Ben Martin Coen,0,John Patrick Murtagh,10th,2 1/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Suwayra (IRE),C. D. Hayes,0,D. K. Weld,9th,2 1/4 l,3,9-2b1,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Jezebel Queen (IRE),C. T. Keane,0,G. M. Lyons,8th,1 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,The Algarve (USA),Ryan Moore,0,Aidan O'Brien,7th,Neck,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Female Soldier (IRE),William James Lee,0,Thomas Mullins,6th,1 3/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Grecian Slipper (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,5th,3/4 l,3,9-2t,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Term Of Endearment,G. F. Carroll,0,Henry de Bromhead,4th,2 1/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Seisai (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,3rd,Nose,3,9-5,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Alizarine,Shane Foley,0,Mrs J. Harrington,2nd,1/2 l,3,9-2p,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Galleria Borghese (IRE),W. M. Lordan,0,Aidan O'Brien,1st,N/A,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Kiss You Later (IRE),Seamie Heffernan,0,Aidan O'Brien,11th,1 1/2 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,One for Bobby (IRE),Ben Martin Coen,0,John Patrick Murtagh,10th,2 1/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Suwayra (IRE),C. D. Hayes,0,D. K. Weld,9th,2 1/4 l,3,9-2b1,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Jezebel Queen (IRE),C. T. Keane,0,G. M. Lyons,8th,1 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,The Algarve (USA),Ryan Moore,0,Aidan O'Brien,7th,Neck,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Female Soldier (IRE),William James Lee,0,Thomas Mullins,6th,1 3/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Grecian Slipper (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,5th,3/4 l,3,9-2t,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Term Of Endearment,G. F. Carroll,0,Henry de Bromhead,4th,2 1/4 l,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Seisai (IRE),S. M. Crosse,0,Joseph Patrick O'Brien,3rd,Nose,3,9-5,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Alizarine,Shane Foley,0,Mrs J. Harrington,2nd,1/2 l,3,9-2p,-,True,5,2
Naas Racing Results | 22nd June 2022 19:10,N/A,19:10,Good (Good To Firm In Places),1m 2f,Galleria Borghese (IRE),W. M. Lordan,0,Aidan O'Brien,1st,N/A,3,9-2,-,True,5,2
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Capla Knight (IRE),Siobhan Rutledge,0,P. J. McKenna,11th,4 3/4 l,4,8-8,60,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Thaleeq,Alexandra McDonnell,7,D. K. Weld,10th,1 l,5,9-3,69,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Raamez (IRE),D. B. McMonagle,0,Gordon Elliott,9th,2 3/4 l,5,9-11t,77,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Zahee (IRE),Cillian McConnell,4,John McConnell,8th,1/2 l,7,9-12ht,78,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Indian Sioux (IRE),S. McCullagh,0,Patrick T. Foley,7th,4 1/2 l,5,9-2p,68,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Monzoon,J. M. Sheridan,0,Ross O'Sullivan,6th,1 l,5,9-11,77,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Elzaam Blue (IRE),N. M. Crosse,0,Darren Bunyan,5th,Neck,4,9-13,79,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Ampeson,J. J. G. Ryan,4,P. J. McKenna,4th,Neck,5,9-3p,69,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Giuseppe Cassioli,J. Coen,2,G. O'Leary,3rd,1 3/4 l,5,10-3,83,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Juyush,D. J. Gilligan,7,Miss Jennifer Anne Lynch,2nd,1/2 l,7,9-12t,78,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Level Pitch (IRE),L. T. McAteer,0,J. S. Bolger,1st,N/A,3,8-11tp1,73,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Capla Knight (IRE),Siobhan Rutledge,0,P. J. McKenna,11th,4 3/4 l,4,8-8,60,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Thaleeq,Alexandra McDonnell,7,D. K. Weld,10th,1 l,5,9-3,69,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Raamez (IRE),D. B. McMonagle,0,Gordon Elliott,9th,2 3/4 l,5,9-11t,77,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Zahee (IRE),Cillian McConnell,4,John McConnell,8th,1/2 l,7,9-12ht,78,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Indian Sioux (IRE),S. McCullagh,0,Patrick T. Foley,7th,4 1/2 l,5,9-2p,68,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Monzoon,J. M. Sheridan,0,Ross O'Sullivan,6th,1 l,5,9-11,77,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Elzaam Blue (IRE),N. M. Crosse,0,Darren Bunyan,5th,Neck,4,9-13,79,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Ampeson,J. J. G. Ryan,4,P. J. McKenna,4th,Neck,5,9-3p,69,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Giuseppe Cassioli,J. Coen,2,G. O'Leary,3rd,1 3/4 l,5,10-3,83,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Juyush,D. J. Gilligan,7,Miss Jennifer Anne Lynch,2nd,1/2 l,7,9-12t,78,True,5,3
Naas Racing Results | 22nd June 2022 19:40,N/A,19:40,Good (Good To Firm In Places),1m,Level Pitch (IRE),L. T. McAteer,0,J. S. Bolger,1st,N/A,3,8-11tp1,73,True,5,3
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Mambacita (USA),K. J. Manning,0,Charles Weld,12th,Neck,4,9-13,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Inspiratrice (IRE),G. F. Carroll,0,Michael G. Kennedy,11th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Endless Season (IRE),N. G. McCullagh,0,M. Halford,10th,11 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Is Fantastic (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,9th,1 1/4 l,6,9-13,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Portville (IRE),C. T. Keane,0,Kieran Patrick Cotter,8th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Miss Abby Jools (IRE),R. P. Whelan,0,M. Halford,7th,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Giulia Frasi,Shane Foley,0,Mrs J. Harrington,6th,2 1/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Merida Pulse (IRE),L. T. McAteer,3,Anthony McCann,5th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Blazing Skies (IRE),William James Lee,0,W. McCreery,4th,1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Spring Feeling (FR),J. M. Sheridan,3,K. J. Condon,3rd,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Only (JPN),Ryan Moore,0,Aidan O'Brien,2nd,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Didn'thavemuchtodo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Mambacita (USA),K. J. Manning,0,Charles Weld,12th,Neck,4,9-13,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Inspiratrice (IRE),G. F. Carroll,0,Michael G. Kennedy,11th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Endless Season (IRE),N. G. McCullagh,0,M. Halford,10th,11 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Is Fantastic (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,9th,1 1/4 l,6,9-13,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Portville (IRE),C. T. Keane,0,Kieran Patrick Cotter,8th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Miss Abby Jools (IRE),R. P. Whelan,0,M. Halford,7th,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Giulia Frasi,Shane Foley,0,Mrs J. Harrington,6th,2 1/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Merida Pulse (IRE),L. T. McAteer,3,Anthony McCann,5th,1 1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Blazing Skies (IRE),William James Lee,0,W. McCreery,4th,1/2 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Spring Feeling (FR),J. M. Sheridan,3,K. J. Condon,3rd,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Only (JPN),Ryan Moore,0,Aidan O'Brien,2nd,1 3/4 l,3,9-3,-,True,5,4
Naas Racing Results | 22nd June 2022 20:10,N/A,20:10,Good (Good To Firm In Places),1m,Didn'thavemuchtodo (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,5,4
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Gut Feeling (USA),C. D. Hayes,0,Adrian McGuinness,16th,4 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mether (IRE),R. P. Whelan,0,Adrian McGuinness,15th,Short Head,2,9-7t1,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Asgard's Captain (IRE),Seamie Heffernan,0,Shane Donohoe,14th,1 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Andrassy (IRE),D. E. Sheehy,3,John Patrick Murtagh,13th,3 3/4 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Eastern Legend (IRE),K. J. Manning,0,J. S. Bolger,12th,Short Head,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mount Ruapehu (IRE),A. J. Slattery,0,John F. Grogan,11th,Neck,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,St Kitts (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1/2 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mile End,S. B. Kelly,0,John Patrick Murtagh,9th,3/4 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,National Emblem (IRE),T. P. Madden,0,Mrs J. Harrington,8th,3 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Spirit Genie (IRE),Shane Foley,0,Mrs J. Harrington,7th,Head,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Dontspoilasale (IRE),William James Lee,0,Miss Natalia Lupini,6th,1 1/2 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Indestructible (IRE),L. F. Roche,0,M. D. O'Callaghan,5th,3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Yosemite Valley,G. M. Ryan,0,Donnacha Aidan O'Brien,4th,Neck,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Wave Machine (FR),Ben Martin Coen,0,John Patrick Murtagh,3rd,1 1/2 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Victoria Road (IRE),Ryan Moore,0,Aidan O'Brien,2nd,1 1/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Slan Abhaile (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Gut Feeling (USA),C. D. Hayes,0,Adrian McGuinness,16th,4 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mether (IRE),R. P. Whelan,0,Adrian McGuinness,15th,Short Head,2,9-7t1,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Asgard's Captain (IRE),Seamie Heffernan,0,Shane Donohoe,14th,1 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Andrassy (IRE),D. E. Sheehy,3,John Patrick Murtagh,13th,3 3/4 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Eastern Legend (IRE),K. J. Manning,0,J. S. Bolger,12th,Short Head,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mount Ruapehu (IRE),A. J. Slattery,0,John F. Grogan,11th,Neck,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,St Kitts (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1/2 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Mile End,S. B. Kelly,0,John Patrick Murtagh,9th,3/4 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,National Emblem (IRE),T. P. Madden,0,Mrs J. Harrington,8th,3 3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Spirit Genie (IRE),Shane Foley,0,Mrs J. Harrington,7th,Head,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Dontspoilasale (IRE),William James Lee,0,Miss Natalia Lupini,6th,1 1/2 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Indestructible (IRE),L. F. Roche,0,M. D. O'Callaghan,5th,3/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Yosemite Valley,G. M. Ryan,0,Donnacha Aidan O'Brien,4th,Neck,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Wave Machine (FR),Ben Martin Coen,0,John Patrick Murtagh,3rd,1 1/2 l,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Victoria Road (IRE),Ryan Moore,0,Aidan O'Brien,2nd,1 1/4 l,2,9-7,-,True,5,5
Curragh Racing Results | 24th June 2022 17:00,N/A,17:00,Good (Good To Firm In Places),6f,Slan Abhaile (IRE),C. T. Keane,0,G. M. Lyons,1st,N/A,2,9-2,-,True,5,5
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Unchained Melody (IRE),K. J. Leonard,0,Donnacha Aidan O'Brien,18th,Neck,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Ashoona (IRE),C. J. MacRedmond,5,Kieran Patrick Cotter,17th,4 1/4 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Pure Circle (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,16th,2 1/2 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Signora Bellissima (IRE),Ben Martin Coen,0,John Patrick Murtagh,15th,1/2 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Finsceal Go Deo (IRE),K. J. Manning,0,J. S. Bolger,14th,1 1/2 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Nyota (IRE),R. P. Whelan,0,M. Halford,13th,1 3/4 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Aspen Grove (IRE),Jamie Spencer,0,J. A. Stack,12th,1 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Tiymara (IRE),S. B. Kelly,0,John Patrick Murtagh,11th,1/2 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Expressova (IRE),R. C. Colgan,0,Ms Sheila Lavery,10th,1 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Rhodesia (IRE),William James Lee,0,Miss Natalia Lupini,9th,Nose,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Calling All Angels (IRE),G. M. Ryan,0,Donnacha Aidan O'Brien,8th,1 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,One Boss,T. P. Madden,0,Mrs J. Harrington,7th,1 1/4 l,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Dower House (IRE),Seamie Heffernan,0,Aidan O'Brien,6th,Short Head,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Gypsy Woman (IRE),C. T. Keane,0,G. M. Lyons,5th,Head,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Nightcliff (IRE),C. D. Hayes,0,David J. Geary,4th,Head,2,9-2,-,True,5,6
Curragh Racing Results | 24th June 2022 17:35,N/A,17:35,Good (Good To Firm In Places),7f,Danvers Gold (IRE),Shane Foley,0,Mrs J. Harrington,3rd,1 1/4 l,2,9-2h1,-,True,5,6
