track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,The Eye Of Tulla (IRE),P T Enright,0,B McMahon,PU,N/A,9,10-0tp1,72,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,10th,4 1/2 l,8,11-0tb,86,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Ballinrea (IRE),S F O'Keeffe,0,R J McGrath,9th,9 l,8,11-1,87,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Imperial Tune (IRE),S W Flanagan,0,L Casey,8th,5 1/2 l,9,11-0t,86,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Kiln Time (IRE),C M Quirke,0,D H Kelly,7th,4 1/2 l,9,10-9,81,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Yorkshire Escape (IRE),J P O'Sullivan,0,D Queally,6th,2 1/4 l,6,10-11,83,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Cullenwaine (IRE),S D Torrens,0,P J Rothwell,5th,9 1/2 l,7,10-8p,80,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Midnight Fairy (IRE),J P Shinnick,3,T O'Brien,4th,9 1/2 l,7,11-4,90,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Meehall (IRE),G B Noonan,5,E McNamara,3rd,2 1/4 l,9,11-10t,96,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Jeu De Pic (FR),K C Sexton,0,T Cooper,2nd,4 l,6,11-9p,95,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Smallcraftwarning (IRE),D King,0,J P Ryan,1st,N/A,8,11-5t,91,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,The Eye Of Tulla (IRE),P T Enright,0,B McMahon,PU,N/A,9,10-0tp1,72,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Kadys Dirha (IRE),Mr A Burke-Ott,7,T P O'Connor,10th,4 1/2 l,8,11-0tb,86,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Ballinrea (IRE),S F O'Keeffe,0,R J McGrath,9th,9 l,8,11-1,87,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Imperial Tune (IRE),S W Flanagan,0,L Casey,8th,5 1/2 l,9,11-0t,86,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Kiln Time (IRE),C M Quirke,0,D H Kelly,7th,4 1/2 l,9,10-9,81,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Yorkshire Escape (IRE),J P O'Sullivan,0,D Queally,6th,2 1/4 l,6,10-11,83,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Cullenwaine (IRE),S D Torrens,0,P J Rothwell,5th,9 1/2 l,7,10-8p,80,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Midnight Fairy (IRE),J P Shinnick,3,T O'Brien,4th,9 1/2 l,7,11-4,90,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Meehall (IRE),G B Noonan,5,E McNamara,3rd,2 1/4 l,9,11-10t,96,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Jeu De Pic (FR),K C Sexton,0,T Cooper,2nd,4 l,6,11-9p,95,True,7,1
Killarney Racing Results | 18th July 2025 16:50,2025-07-18,16:50,Yielding To Soft (Yielding In Places),2m 7f,Smallcraftwarning (IRE),D King,0,J P Ryan,1st,N/A,8,11-5t,91,True,7,1
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Hysuna (IRE),Mr M J Kenneally,7,R A Foley,8th,25 l,6,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Elle Klassycco (IRE),E M O'Sullivan,7,Bernard Crowley,7th,28 l,7,11-4ht1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Tillyiver (IRE),Mr C J Shine,7,Leonard Flynn,6th,10 l,5,11-4t1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Ellens Pride (IRE),Mr D Doyle,7,T Doyle,5th,12 l,5,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Inver Bay (IRE),E Finegan,7,G Keane,4th,17 l,6,11-4h1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Beir Bua (IRE),Mr A P Ryan,5,A Slattery,3rd,1 1/2 l,4,11-0,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Fraher Field (IRE),Mr J L Gleeson,0,John E & Kiely,2nd,1 1/2 l,5,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Lemon Zest (IRE),Mr H C Swan,0,J J Murphy,1st,N/A,4,11-0,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Hysuna (IRE),Mr M J Kenneally,7,R A Foley,8th,25 l,6,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Elle Klassycco (IRE),E M O'Sullivan,7,Bernard Crowley,7th,28 l,7,11-4ht1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Tillyiver (IRE),Mr C J Shine,7,Leonard Flynn,6th,10 l,5,11-4t1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Ellens Pride (IRE),Mr D Doyle,7,T Doyle,5th,12 l,5,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Inver Bay (IRE),E Finegan,7,G Keane,4th,17 l,6,11-4h1,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Beir Bua (IRE),Mr A P Ryan,5,A Slattery,3rd,1 1/2 l,4,11-0,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Fraher Field (IRE),Mr J L Gleeson,0,John E & Kiely,2nd,1 1/2 l,5,11-4,-,True,7,2
Killarney Racing Results | 18th July 2025 17:25,2025-07-18,17:25,Yielding To Soft (Yielding In Places) ace (Turf),2m 1f,Lemon Zest (IRE),Mr H C Swan,0,J J Murphy,1st,N/A,4,11-0,-,True,7,2
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Arakiel (IRE),J Kearney,3,A McNamara,10th,3 3/4 l,2,9-7,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Disco Version (IRE),N M Crosse,0,R O'Brien,9th,Head,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Cocotinha (IRE),L F Roche,0,A Murray,8th,3 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Baahyeh (IRE),J J G Ryan,3,J Davison,7th,1/2 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Prairie Echoes (IRE),S Foley,0,K P Cotter,6th,2 3/4 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Monte Vista (IRE),P A Harnett,5,Donnacha O'Brien,5th,3 1/4 l,2,9-2p1,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Eat Pray Run (IRE),D McMonagle,0,J P O'Brien,4th,1/2 l,2,9-2t1,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Namiid (IRE),B M Coen,0,J P Murtagh,3rd,3/4 l,2,9-7,83,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Jack The Bachelor (IRE),C D Hayes,0,Stephen Thorne,2nd,1 1/4 l,2,9-7,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Howd'yadoit (IRE),G F Carroll,0,G M Lyons,1st,N/A,2,9-7,78,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Arakiel (IRE),J Kearney,3,A McNamara,10th,3 3/4 l,2,9-7,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Disco Version (IRE),N M Crosse,0,R O'Brien,9th,Head,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Cocotinha (IRE),L F Roche,0,A Murray,8th,3 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Baahyeh (IRE),J J G Ryan,3,J Davison,7th,1/2 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Prairie Echoes (IRE),S Foley,0,K P Cotter,6th,2 3/4 l,2,9-2,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Monte Vista (IRE),P A Harnett,5,Donnacha O'Brien,5th,3 1/4 l,2,9-2p1,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Eat Pray Run (IRE),D McMonagle,0,J P O'Brien,4th,1/2 l,2,9-2t1,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Namiid (IRE),B M Coen,0,J P Murtagh,3rd,3/4 l,2,9-7,83,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Jack The Bachelor (IRE),C D Hayes,0,Stephen Thorne,2nd,1 1/4 l,2,9-7,-,True,7,3
Down Royal Racing Results | 18th July 2025 17:10,2025-07-18,17:10,Good (Good To Firm In Places),5f,Howd'yadoit (IRE),G F Carroll,0,G M Lyons,1st,N/A,2,9-7,78,True,7,3
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Dabirsim Flyer (FR),W Joyce,3,F Birrane,12th,13 l,4,10-0,54,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Jordan Breeze (IRE),D P McDonogh,0,P J Flynn,11th,1 1/4 l,3,9-13,57,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Sovereign Banter (IRE),S Foley,0,E J O'Grady,10th,Nose,3,9-5p,49,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Livingston Range (IRE),K G Kennedy,5,R Donohoe,9th,Neck,7,9-2t,42,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Havana Notion,H J Horgan,5,J Feane,8th,3/4 l,5,9-4,44,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,An Laochmor (IRE),D McMonagle,0,J G Coogan,7th,1 1/4 l,4,9-10v,50,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Lakota Lady (IRE),J Pietropaolo,7,M J Browne,6th,Neck,5,9-0,40,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Realtin Fantasy (IRE),J S Dalton,10,W P Browne,5th,Head,9,9-10p,50,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Mount Ruapehu (IRE),J E Harnett,10,M Fahey,4th,Short Head,5,10-0,54,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Therussiancomposer,P McGettigan,7,Ciaran Murphy,3rd,1/2 l,3,8-12,42,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Spirit Of Eagles (IRE),G M Ryan,0,Thomas Dowling,2nd,1 l,5,9-6p,46,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Hero Of The Hour,J J G Ryan,3,T G McCourt,1st,N/A,8,10-0v,54,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Dabirsim Flyer (FR),W Joyce,3,F Birrane,12th,13 l,4,10-0,54,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Jordan Breeze (IRE),D P McDonogh,0,P J Flynn,11th,1 1/4 l,3,9-13,57,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Sovereign Banter (IRE),S Foley,0,E J O'Grady,10th,Nose,3,9-5p,49,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Livingston Range (IRE),K G Kennedy,5,R Donohoe,9th,Neck,7,9-2t,42,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Havana Notion,H J Horgan,5,J Feane,8th,3/4 l,5,9-4,44,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,An Laochmor (IRE),D McMonagle,0,J G Coogan,7th,1 1/4 l,4,9-10v,50,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Lakota Lady (IRE),J Pietropaolo,7,M J Browne,6th,Neck,5,9-0,40,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Realtin Fantasy (IRE),J S Dalton,10,W P Browne,5th,Head,9,9-10p,50,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Mount Ruapehu (IRE),J E Harnett,10,M Fahey,4th,Short Head,5,10-0,54,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Therussiancomposer,P McGettigan,7,Ciaran Murphy,3rd,1/2 l,3,8-12,42,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Spirit Of Eagles (IRE),G M Ryan,0,Thomas Dowling,2nd,1 l,5,9-6p,46,True,7,4
Down Royal Racing Results | 18th July 2025 17:42,2025-07-18,17:42,Good (Good To Firm In Places),5f,Hero Of The Hour,J J G Ryan,3,T G McCourt,1st,N/A,8,10-0v,54,True,7,4
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Monocle Rocket (IRE),A J Slattery,0,H De Bromhead,14th,13 l,2,9-7p,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,One Cool Bear (IRE),Adam Caffrey,0,A McGuinness,13th,1 1/2 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Imnotleavinyou (IRE),W Joyce,3,M Mulvany,12th,2 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Jordi Bear (IRE),J A Heffernan,0,J A Stack,11th,7 1/2 l,2,9-7t1,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Manifest Destiny (IRE),C D Hayes,0,A Oliver,10th,1 1/4 l,2,9-7v,68,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Maker's Mark (IRE),J J G Ryan,3,T G McCourt,9th,1 1/4 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Bullet Bourbon (IRE),R Whearty,3,T G McCourt,8th,1 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Clarity of Thought,D P McDonogh,0,J P O'Brien,7th,Head,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Venetian Star (IRE),B M Coen,0,J P Murtagh,6th,1/2 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Darwin's Angel (IRE),J Kearney,3,Stephen Thorne,5th,1 3/4 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Femme Beauty (IRE),R P Whelan,0,K J Condon,4th,3 1/4 l,2,9-2p1,67,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Invincible Will (IRE),G F Carroll,0,G P Cromwell,3rd,4 3/4 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Kensington Lane (IRE),G M Ryan,0,Donnacha O'Brien,2nd,Head,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Summer Is Tomorrow (IRE),D McMonagle,0,J P O'Brien,1st,N/A,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Monocle Rocket (IRE),A J Slattery,0,H De Bromhead,14th,13 l,2,9-7p,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,One Cool Bear (IRE),Adam Caffrey,0,A McGuinness,13th,1 1/2 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Imnotleavinyou (IRE),W Joyce,3,M Mulvany,12th,2 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Jordi Bear (IRE),J A Heffernan,0,J A Stack,11th,7 1/2 l,2,9-7t1,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Manifest Destiny (IRE),C D Hayes,0,A Oliver,10th,1 1/4 l,2,9-7v,68,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Maker's Mark (IRE),J J G Ryan,3,T G McCourt,9th,1 1/4 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Bullet Bourbon (IRE),R Whearty,3,T G McCourt,8th,1 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Clarity of Thought,D P McDonogh,0,J P O'Brien,7th,Head,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Venetian Star (IRE),B M Coen,0,J P Murtagh,6th,1/2 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Darwin's Angel (IRE),J Kearney,3,Stephen Thorne,5th,1 3/4 l,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Femme Beauty (IRE),R P Whelan,0,K J Condon,4th,3 1/4 l,2,9-2p1,67,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Invincible Will (IRE),G F Carroll,0,G P Cromwell,3rd,4 3/4 l,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Kensington Lane (IRE),G M Ryan,0,Donnacha O'Brien,2nd,Head,2,9-2,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:17,2025-07-18,18:17,Good (Good To Firm In Places),7f 25y,Summer Is Tomorrow (IRE),D McMonagle,0,J P O'Brien,1st,N/A,2,9-7,-,True,7,5
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Milverton,R C Colgan,0,K Thornton,10th,6 l,6,9-1,65,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Ozark Daze,J J G Ryan,3,J Davison,9th,4 3/4 l,4,9-11p1,75,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Rich Belief,A J Slattery,0,K Thornton,8th,3 l,8,9-13t,77,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Frank Pickle (IRE),B M Coen,0,Mrs D Foster,7th,3/4 l,4,9-12h1,76,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Keilah (IRE),N M Crosse,0,W McCreery,6th,6 l,5,8-13,63,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Angelo Pio (IRE),D McMonagle,0,J P O'Brien,5th,1 1/4 l,3,9-8t,82,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Smaoineamh Sile,R Whearty,3,Conor Maxwell,4th,3 3/4 l,7,8-12,62,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Tartaraghan (IRE),K G Kennedy,5,J C McConnell,3rd,Neck,4,8-12,62,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Nocturnal (IRE),G F Carroll,0,N Lupini,2nd,1/2 l,4,10-0,78,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Purple Sky (IRE),D P McDonogh,0,J S Bolger,1st,N/A,4,8-11t,61,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Milverton,R C Colgan,0,K Thornton,10th,6 l,6,9-1,65,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Ozark Daze,J J G Ryan,3,J Davison,9th,4 3/4 l,4,9-11p1,75,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Rich Belief,A J Slattery,0,K Thornton,8th,3 l,8,9-13t,77,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Frank Pickle (IRE),B M Coen,0,Mrs D Foster,7th,3/4 l,4,9-12h1,76,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Keilah (IRE),N M Crosse,0,W McCreery,6th,6 l,5,8-13,63,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Angelo Pio (IRE),D McMonagle,0,J P O'Brien,5th,1 1/4 l,3,9-8t,82,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Smaoineamh Sile,R Whearty,3,Conor Maxwell,4th,3 3/4 l,7,8-12,62,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Tartaraghan (IRE),K G Kennedy,5,J C McConnell,3rd,Neck,4,8-12,62,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Nocturnal (IRE),G F Carroll,0,N Lupini,2nd,1/2 l,4,10-0,78,True,7,6
Down Royal Racing Results | 18th July 2025 18:52,2025-07-18,18:52,Good (Good To Firm In Places),1m 2f 140y,Purple Sky (IRE),D P McDonogh,0,J S Bolger,1st,N/A,4,8-11t,61,True,7,6
Down Royal Racing Results | 18th July 2025 19:27,2025-07-18,19:27,Good (Good To Firm In Places),1m 5f,Maxwell Smart (IRE),Sadhbh Tormey,7,T G McCourt,8th,3/4 l,4,8-13v,51,True,7,7
