track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,La Vega Moon (IRE),P Hanlon,7,J J Hanlon,14th,2 1/2 l,6,11-12p,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Tom's My Star (IRE),H Morgan,0,E Griffin,13th,3/4 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,12th,1/2 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Mighty Soldier (IRE),K C Sexton,0,James Andrew Fahey,11th,11 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Hakensack (IRE),A McCurtin,0,D G Murphy,10th,2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Beechfield (IRE),T Ryan,5,D Commins,9th,3 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Moonlight Jazz,M P O'Connor,3,H De Bromhead,8th,5 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Sage Conseil (IRE),A Harvey,7,J C McConnell,7th,2 3/4 l,6,11-12t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Useta Lover (IRE),L A McKenna,5,Colm Murphy,6th,3 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Kilkee Bay (IRE),J Coen,5,G Elliott,5th,4 1/4 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Joecooker (FR),J P Shinnick,7,Mary Ellen Doyle,4th,6 1/2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,The Diddler (IRE),R A Doyle,0,P M Quinlan,3rd,6 1/2 l,6,11-5t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,My Great Mate (IRE),K Callaghan,5,W P Mullins,2nd,1/2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Donnie Devito (IRE),T P Harney,7,R O'Sullivan,1st,N/A,5,11-12ht,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Kir Royal Blou (FR),S Fitzgerald,0,W J Burke,22nd,4 1/4 l,4,11-7,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Handy Manny (IRE),M J Molloy,7,D A McLoughlin,21st,Neck,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Evies Court (IRE),G Brouder,5,N C Kelly,20th,3/4 l,4,11-0,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Do The Math (IRE),K E Buckley,0,S Crawley,19th,1 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Hestheboycandoit (IRE),Shane Fenelon,7,S Millar,18th,1/2 l,6,11-12t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Anysignofhim (IRE),L Quinlan,3,R Hackett,17th,2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Qasbaz (IRE),E Walsh,0,Ian Donoghue,16th,1/2 l,7,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Glenmorefiftyfour (IRE),R Deegan,0,R Hackett,15th,3/4 l,8,11-12t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,La Vega Moon (IRE),P Hanlon,7,J J Hanlon,14th,2 1/2 l,6,11-12p,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Tom's My Star (IRE),H Morgan,0,E Griffin,13th,3/4 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Midleton Rare (IRE),P M O'Brien,7,D A McLoughlin,12th,1/2 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Mighty Soldier (IRE),K C Sexton,0,James Andrew Fahey,11th,11 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Hakensack (IRE),A McCurtin,0,D G Murphy,10th,2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Beechfield (IRE),T Ryan,5,D Commins,9th,3 l,6,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Moonlight Jazz,M P O'Connor,3,H De Bromhead,8th,5 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Sage Conseil (IRE),A Harvey,7,J C McConnell,7th,2 3/4 l,6,11-12t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Useta Lover (IRE),L A McKenna,5,Colm Murphy,6th,3 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Kilkee Bay (IRE),J Coen,5,G Elliott,5th,4 1/4 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Joecooker (FR),J P Shinnick,7,Mary Ellen Doyle,4th,6 1/2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,The Diddler (IRE),R A Doyle,0,P M Quinlan,3rd,6 1/2 l,6,11-5t,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,My Great Mate (IRE),K Callaghan,5,W P Mullins,2nd,1/2 l,5,11-12,-,True,121,41
Punchestown Racing Results | 8th June 2024 15:42,N/A,15:42,Good (Good To Yielding In Places),2m 3f 100y,Donnie Devito (IRE),T P Harney,7,R O'Sullivan,1st,N/A,5,11-12ht,-,True,121,41
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Internet Biddy (IRE),M P O'Connor,3,S Aherne,PU,N/A,6,10-13h1,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,The Miracle Man (IRE),J Coen,5,Peter Fahey,PU,N/A,6,11-10,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Daicheadacuig (IRE),A Harvey,7,B Mortell,16th,38 l,9,11-6,87,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Mademewhatiam,C Stone-Walsh,5,P Nolan,15th,17 l,5,11-2,83,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Saynothinatall (IRE),J G Gilligan,7,D Collins,14th,4 1/2 l,5,11-12,93,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Glenriver (IRE),P J O'Hanlon,3,D A McLoughlin,13th,3/4 l,6,11-10,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,War Thunder,K C Sexton,0,P W Flynn,12th,1 3/4 l,6,10-13,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Trim To Milan (IRE),R A Doyle,0,G Keane,11th,Short Head,9,10-13,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Lummi Island (IRE),E Walsh,0,D Deacon,10th,3/4 l,6,11-13,94,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Mabel In May (IRE),K E Buckley,0,Conor Maxwell,9th,1/2 l,5,11-2,83,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Great Rainbow (FR),R Deegan,0,B McMahon,8th,8 l,6,11-3,84,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Spellacy's Cross (IRE),A P Kelly,5,T Mullins,7th,1 3/4 l,5,11-8t,89,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Gonetomillgrove (IRE),C Owens,7,P J Rothwell,6th,5 l,6,11-9,90,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Arctic Saint (IRE),D Moloney,7,Mrs G O'Connor,5th,1 3/4 l,6,11-7t,88,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,The Virginian (IRE),D P White,7,P Roche,4th,10 l,8,11-10t,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Warmer Days Ahead (FR),J I Duggan,7,O McKiernan,3rd,1 1/4 l,5,11-9tp,90,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Del Girl (IRE),L Quinlan,3,S Crawley,2nd,Short Head,5,11-6,87,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Gaelic Des Chastys (FR),C P McNamara,0,E McNamara,1st,N/A,8,11-1h1,82,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Internet Biddy (IRE),M P O'Connor,3,S Aherne,PU,N/A,6,10-13h1,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,The Miracle Man (IRE),J Coen,5,Peter Fahey,PU,N/A,6,11-10,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Daicheadacuig (IRE),A Harvey,7,B Mortell,16th,38 l,9,11-6,87,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Mademewhatiam,C Stone-Walsh,5,P Nolan,15th,17 l,5,11-2,83,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Saynothinatall (IRE),J G Gilligan,7,D Collins,14th,4 1/2 l,5,11-12,93,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Glenriver (IRE),P J O'Hanlon,3,D A McLoughlin,13th,3/4 l,6,11-10,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,War Thunder,K C Sexton,0,P W Flynn,12th,1 3/4 l,6,10-13,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Trim To Milan (IRE),R A Doyle,0,G Keane,11th,Short Head,9,10-13,80,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Lummi Island (IRE),E Walsh,0,D Deacon,10th,3/4 l,6,11-13,94,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Mabel In May (IRE),K E Buckley,0,Conor Maxwell,9th,1/2 l,5,11-2,83,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Great Rainbow (FR),R Deegan,0,B McMahon,8th,8 l,6,11-3,84,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Spellacy's Cross (IRE),A P Kelly,5,T Mullins,7th,1 3/4 l,5,11-8t,89,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Gonetomillgrove (IRE),C Owens,7,P J Rothwell,6th,5 l,6,11-9,90,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Arctic Saint (IRE),D Moloney,7,Mrs G O'Connor,5th,1 3/4 l,6,11-7t,88,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,The Virginian (IRE),D P White,7,P Roche,4th,10 l,8,11-10t,91,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Warmer Days Ahead (FR),J I Duggan,7,O McKiernan,3rd,1 1/4 l,5,11-9tp,90,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Del Girl (IRE),L Quinlan,3,S Crawley,2nd,Short Head,5,11-6,87,True,121,42
Punchestown Racing Results | 8th June 2024 16:17,N/A,16:17,Good (Good To Yielding In Places),2m 3f 100y,Gaelic Des Chastys (FR),C P McNamara,0,E McNamara,1st,N/A,8,11-1h1,82,True,121,42
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Toor Moon (IRE),L Quinlan,3,Ms M Flynn,NR,N/A,7,11-12h,93,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Bowgate Street (IRE),O R Brown,5,T Gibney,PU,N/A,5,11-7t,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Make No Plans (IRE),C P Millar,7,Liam G O'brien,16th,37 l,6,11-2,83,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Eire Comes Tribsy (IRE),Sarah Kavanagh,7,P A Fahy,15th,15 l,6,11-0t1,81,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,The Empty Kettel (IRE),R Deegan,0,G J Power,14th,10 l,6,11-13,94,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Shean Glory (IRE),M P O'Connor,3,S Aherne,13th,11 l,8,10-13,80,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Warrior Lion,C Stone-Walsh,5,M McCabe,12th,Head,4,11-2tp1,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Rideau Canal (IRE),J Coen,5,Mrs D Foster,11th,1/2 l,9,11-9t,90,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Its Not Over Yet (IRE),J I Duggan,7,O McKiernan,10th,3/4 l,5,11-6,87,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Hees Dynamite (IRE),C P McNamara,0,E McNamara,9th,1/2 l,6,11-6,87,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Ixigreczed (FR),P K Donovan,5,E Seymour,8th,2 3/4 l,6,11-12h1,93,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Il Silenzio,R A Doyle,0,M Brassil,7th,6 l,7,11-10tp1,91,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Winds Of Winter (IRE),K C Sexton,0,P W Flynn,6th,Short Head,6,11-4,85,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Birdsandthebees (IRE),P T Smithers,7,P Roche,5th,1/2 l,7,11-7h,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Mac's Xpress (IRE),J G Gilligan,7,P J Gilligan,4th,1 l,6,11-13,94,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Kalaroun (IRE),C G O'Dwyer,5,C O'Dwyer,3rd,5 1/2 l,6,11-9,90,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Papa Barns (IRE),P M O'Brien,7,Tom Dreaper,2nd,4 1/2 l,7,10-13,80,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Flashthelights (IRE),G Brouder,5,N C Kelly,1st,N/A,8,11-0tp,81,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Toor Moon (IRE),L Quinlan,3,Ms M Flynn,NR,N/A,7,11-12h,93,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Bowgate Street (IRE),O R Brown,5,T Gibney,PU,N/A,5,11-7t,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Make No Plans (IRE),C P Millar,7,Liam G O'brien,16th,37 l,6,11-2,83,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Eire Comes Tribsy (IRE),Sarah Kavanagh,7,P A Fahy,15th,15 l,6,11-0t1,81,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,The Empty Kettel (IRE),R Deegan,0,G J Power,14th,10 l,6,11-13,94,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Shean Glory (IRE),M P O'Connor,3,S Aherne,13th,11 l,8,10-13,80,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Warrior Lion,C Stone-Walsh,5,M McCabe,12th,Head,4,11-2tp1,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Rideau Canal (IRE),J Coen,5,Mrs D Foster,11th,1/2 l,9,11-9t,90,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Its Not Over Yet (IRE),J I Duggan,7,O McKiernan,10th,3/4 l,5,11-6,87,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Hees Dynamite (IRE),C P McNamara,0,E McNamara,9th,1/2 l,6,11-6,87,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Ixigreczed (FR),P K Donovan,5,E Seymour,8th,2 3/4 l,6,11-12h1,93,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Il Silenzio,R A Doyle,0,M Brassil,7th,6 l,7,11-10tp1,91,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Winds Of Winter (IRE),K C Sexton,0,P W Flynn,6th,Short Head,6,11-4,85,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Birdsandthebees (IRE),P T Smithers,7,P Roche,5th,1/2 l,7,11-7h,88,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Mac's Xpress (IRE),J G Gilligan,7,P J Gilligan,4th,1 l,6,11-13,94,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Kalaroun (IRE),C G O'Dwyer,5,C O'Dwyer,3rd,5 1/2 l,6,11-9,90,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Papa Barns (IRE),P M O'Brien,7,Tom Dreaper,2nd,4 1/2 l,7,10-13,80,True,121,43
Punchestown Racing Results | 8th June 2024 16:52,N/A,16:52,Good (Good To Yielding In Places),2m 3f 100y,Flashthelights (IRE),G Brouder,5,N C Kelly,1st,N/A,8,11-0tp,81,True,121,43
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,El Toro Rocco (IRE),Mr F J Gillen,7,E Mullins,PU,N/A,5,12-0t1,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Elmonir (IRE),Mr George Daly,7,J J Hanlon,PU,N/A,4,11-9,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Caminito Del Rey (IRE),Mr O McGill,7,C A McBratney,18th,17 l,6,12-0h1,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,As The Lad Says (IRE),Ms H Dunne,0,Miss K Brown,17th,14 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Getone (IRE),Mr J C Barry,3,V Halley,16th,5 1/2 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Mountain Port (IRE),Mr P J Cody,7,K Purcell,15th,3 1/4 l,5,12-0t1,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Bebbinberg (IRE),C D Smithers,7,S Byrne,14th,2 1/2 l,7,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Final Flutter (IRE),Mr I Ryan,7,J Magnier,13th,2 3/4 l,6,11-7,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Vintage Red (IRE),Mr T A Halford,7,W J Fitzpatrick,12th,4 3/4 l,6,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,She Can Do It (IRE),A Harvey,7,L Lennon,11th,3/4 l,4,11-2,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,The Correction (IRE),Mr J R Martin,7,P Martin,10th,1 l,5,12-0t,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Bigcitylights,Mr J L Gleeson,5,E Mullins,9th,9 1/2 l,5,12-0ht1,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Solsbury Hill (IRE),Mr H C Swan,3,C O'Dwyer,8th,1 3/4 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,The Gray Ghost (IRE),Mr P A King,5,D H Kelly,7th,2 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Passenger (IRE),Mr F Maguire,0,D K Weld,6th,2 1/2 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Ballysax Hank (IRE),C P Millar,7,B W Duke,5th,2 1/4 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Ned In The Park (IRE),Mr D Doyle,7,T Doyle,4th,4 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Chart Topper (FR),Mr P W Mullins,0,W P Mullins,3rd,2 1/4 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Base Of Fire (IRE),Mr E P O'Brien,5,R O'Brien,2nd,2 l,5,12-0,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Fatal Flaw (IRE),Mr D O'Connor,0,Jonathan Sweeney,1st,N/A,6,12-0t,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,El Toro Rocco (IRE),Mr F J Gillen,7,E Mullins,PU,N/A,5,12-0t1,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Elmonir (IRE),Mr George Daly,7,J J Hanlon,PU,N/A,4,11-9,-,True,121,44
Punchestown Racing Results | 8th June 2024 17:27,N/A,17:27,Good (Good To Yielding In Places)  Flat (Turf),2m 170y,Caminito Del Rey (IRE),Mr O McGill,7,C A McBratney,18th,17 l,6,12-0h1,-,True,121,44
