track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Formal Display,G F Carroll,0,G M Lyons,8th,2 3/4 l,3,9-9,95,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Signor Ferrari (IRE),M W Hassett,5,J Feane,7th,Neck,3,8-7h1,79,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Ridhaz (IRE),B M Coen,0,M Halford & T Collins,6th,2 1/2 l,3,9-0,86,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Princess Child (FR),D McMonagle,0,J P O'Brien,5th,2 3/4 l,3,9-11,97,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Soldier's Empire (IRE),C T Keane,0,G M Lyons,4th,Short Head,3,9-4,90,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Thor's Hammer (IRE),John Velazquez,0,J P Murtagh,3rd,1/2 l,3,8-13b,85,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Arabic Legend (IRE),C Lee,0,K R Burke,2nd,1 3/4 l,3,9-12,98,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Sharinay,R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-9h,95,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Formal Display,G F Carroll,0,G M Lyons,8th,2 3/4 l,3,9-9,95,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Signor Ferrari (IRE),M W Hassett,5,J Feane,7th,Neck,3,8-7h1,79,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Ridhaz (IRE),B M Coen,0,M Halford & T Collins,6th,2 1/2 l,3,9-0,86,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Princess Child (FR),D McMonagle,0,J P O'Brien,5th,2 3/4 l,3,9-11,97,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Soldier's Empire (IRE),C T Keane,0,G M Lyons,4th,Short Head,3,9-4,90,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Thor's Hammer (IRE),John Velazquez,0,J P Murtagh,3rd,1/2 l,3,8-13b,85,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Arabic Legend (IRE),C Lee,0,K R Burke,2nd,1 3/4 l,3,9-12,98,True,125,1
Curragh Racing Results | 30th June 2024 13:10,N/A,13:10,Good To Yielding,1m 1f,Sharinay,R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-9h,95,True,125,1
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,The Parthenon (IRE),D P McDonogh,0,A P O'Brien,NR,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Red Evolution (IRE),Non Runner,0,M O'Callaghan,NR,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Principality (IRE),S M Levey,0,R Hannon,5th,6 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Tunbridge Wells (IRE),R L Moore,0,A P O'Brien,4th,Head,2,9-5p1,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Arizona Blaze,D Egan,0,A Murray,3rd,3 1/4 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,The Strikin Viking (IRE),T Eaves,0,K A Ryan,2nd,1/2 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Henri Matisse (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,The Parthenon (IRE),D P McDonogh,0,A P O'Brien,NR,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Red Evolution (IRE),Non Runner,0,M O'Callaghan,NR,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Principality (IRE),S M Levey,0,R Hannon,5th,6 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Tunbridge Wells (IRE),R L Moore,0,A P O'Brien,4th,Head,2,9-5p1,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Arizona Blaze,D Egan,0,A Murray,3rd,3 1/4 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,The Strikin Viking (IRE),T Eaves,0,K A Ryan,2nd,1/2 l,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 13:40,N/A,13:40,Good To Yielding,6f,Henri Matisse (IRE),W M Lordan,0,A P O'Brien,1st,N/A,2,9-5,-,True,125,2
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Dandyville (IRE),Non Runner,0,M G Quinn,NR,N/A,6,9-7,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Sister Lola (IRE),W Joyce,0,A Sexton,7th,5 1/2 l,7,9-2t,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Pink Sorrel (IRE),G F Carroll,0,J G Murphy,6th,3 l,4,9-2,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Commanche Falls,Connor Beasley,0,M Dods,5th,1/2 l,7,9-12p,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Jakajaro (IRE),L T McAteer,0,D Marnane,4th,Head,3,9-0,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,3rd,Head,5,9-7tp1,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Ano Syra (IRE),D McMonagle,0,J Feane,2nd,1/2 l,5,9-2,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,My Mate Alfie (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-0b,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Dandyville (IRE),Non Runner,0,M G Quinn,NR,N/A,6,9-7,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Sister Lola (IRE),W Joyce,0,A Sexton,7th,5 1/2 l,7,9-2t,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Pink Sorrel (IRE),G F Carroll,0,J G Murphy,6th,3 l,4,9-2,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Commanche Falls,Connor Beasley,0,M Dods,5th,1/2 l,7,9-12p,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Jakajaro (IRE),L T McAteer,0,D Marnane,4th,Head,3,9-0,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Tango Flare (IRE),J A Heffernan,0,P T Foley,3rd,Head,5,9-7tp1,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,Ano Syra (IRE),D McMonagle,0,J Feane,2nd,1/2 l,5,9-2,-,True,125,3
Curragh Racing Results | 30th June 2024 14:15,N/A,14:15,Good To Yielding,6f,My Mate Alfie (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-0b,-,True,125,3
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,So Majestic (IRE),D McMonagle,0,Miss K McGivern,NR,N/A,4,9-4ht,95,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Arnhem (IRE),G M Ryan,0,M G Quinn,16th,Neck,8,9-1,92,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Reinforce (IRE),W Joyce,5,Miss K Brown,15th,3/4 l,4,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Little Queenie (IRE),R Whearty,5,P W Flynn,14th,Neck,5,9-0,91,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Sturlasson (IRE),Oisin Murphy,0,K P Cotter,13th,3/4 l,3,8-9,92,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Kendall Roy,C D Hayes,0,Miss K McGivern,12th,Nose,3,8-7t,90,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Thunderbear (IRE),C T Keane,0,J Davison,11th,Short Head,4,10-0p,105,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Korker (IRE),C Lee,0,K R Burke,10th,Head,5,10-0p,105,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Harry's Hill,M W Hassett,5,M Hassett,9th,Nose,6,8-7t,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Twilight Jet (IRE),John Velazquez,0,M O'Callaghan,8th,Nose,5,9-13v1,104,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Shandy (IRE),W M Lordan,0,J A Stack,7th,1 l,3,8-7h1,90,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Big Gossey (IRE),G F Carroll,0,C O'Brien,6th,3/4 l,7,9-7,98,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Bold Optimist (IRE),K G Kennedy,0,Daniel McLoughlin,5th,1/2 l,4,8-7p,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Jm Jungle (IRE),Jason Hart,0,J & S Quinn,4th,Short Head,4,8-12,89,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Lethal Nymph,J Fanning,0,P T Midgley,3rd,1/2 l,5,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Greek Flower (IRE),J A Powell,3,J Feane,2nd,1 1/2 l,5,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Amazon Lady (IRE),W J Lee,0,W McCreery,1st,N/A,4,9-2v,93,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,So Majestic (IRE),D McMonagle,0,Miss K McGivern,NR,N/A,4,9-4ht,95,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Arnhem (IRE),G M Ryan,0,M G Quinn,16th,Neck,8,9-1,92,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Reinforce (IRE),W Joyce,5,Miss K Brown,15th,3/4 l,4,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Little Queenie (IRE),R Whearty,5,P W Flynn,14th,Neck,5,9-0,91,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Sturlasson (IRE),Oisin Murphy,0,K P Cotter,13th,3/4 l,3,8-9,92,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Kendall Roy,C D Hayes,0,Miss K McGivern,12th,Nose,3,8-7t,90,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Thunderbear (IRE),C T Keane,0,J Davison,11th,Short Head,4,10-0p,105,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Korker (IRE),C Lee,0,K R Burke,10th,Head,5,10-0p,105,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Harry's Hill,M W Hassett,5,M Hassett,9th,Nose,6,8-7t,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Twilight Jet (IRE),John Velazquez,0,M O'Callaghan,8th,Nose,5,9-13v1,104,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Shandy (IRE),W M Lordan,0,J A Stack,7th,1 l,3,8-7h1,90,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Big Gossey (IRE),G F Carroll,0,C O'Brien,6th,3/4 l,7,9-7,98,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Bold Optimist (IRE),K G Kennedy,0,Daniel McLoughlin,5th,1/2 l,4,8-7p,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Jm Jungle (IRE),Jason Hart,0,J & S Quinn,4th,Short Head,4,8-12,89,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Lethal Nymph,J Fanning,0,P T Midgley,3rd,1/2 l,5,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Greek Flower (IRE),J A Powell,3,J Feane,2nd,1 1/2 l,5,8-7,84,True,125,4
Curragh Racing Results | 30th June 2024 14:50,N/A,14:50,Good To Yielding,5f,Amazon Lady (IRE),W J Lee,0,W McCreery,1st,N/A,4,9-2v,93,True,125,4
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Romina Power (FR),D P McDonogh,0,J P O'Brien,NR,N/A,4,9-4,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,You Send Me (IRE),J A Heffernan,0,J A Stack,8th,1 l,4,9-4,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Master Of The Hunt (IRE),W M Lordan,0,A P O'Brien,7th,1/2 l,3,8-13p,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Dunum (IRE),W J Lee,0,N Lupini,6th,1 1/4 l,6,9-9,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Mundi (IRE),R L Moore,0,A P O'Brien,5th,2 1/2 l,3,8-13,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Norwalk Havoc,S Foley,0,Mrs J Harrington,4th,Nose,3,8-13,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Azada (IRE),C D Hayes,0,D K Weld,3rd,1 1/2 l,3,8-8,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Atlantic Coast (IRE),D McMonagle,0,J P O'Brien,2nd,2 1/2 l,3,9-4t,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Lord Massusus (IRE),G F Carroll,0,J G Murphy,1st,N/A,4,10-0,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Romina Power (FR),D P McDonogh,0,J P O'Brien,NR,N/A,4,9-4,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,You Send Me (IRE),J A Heffernan,0,J A Stack,8th,1 l,4,9-4,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Master Of The Hunt (IRE),W M Lordan,0,A P O'Brien,7th,1/2 l,3,8-13p,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Dunum (IRE),W J Lee,0,N Lupini,6th,1 1/4 l,6,9-9,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Mundi (IRE),R L Moore,0,A P O'Brien,5th,2 1/2 l,3,8-13,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Norwalk Havoc,S Foley,0,Mrs J Harrington,4th,Nose,3,8-13,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Azada (IRE),C D Hayes,0,D K Weld,3rd,1 1/2 l,3,8-8,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Atlantic Coast (IRE),D McMonagle,0,J P O'Brien,2nd,2 1/2 l,3,9-4t,-,True,125,5
Curragh Racing Results | 30th June 2024 15:25,N/A,15:25,Good,1m,Lord Massusus (IRE),G F Carroll,0,J G Murphy,1st,N/A,4,10-0,-,True,125,5
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Euphoric,D P McDonogh,0,A P O'Brien,8th,4 1/4 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Grosvenor Square (IRE),W M Lordan,0,A P O'Brien,7th,1 1/2 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,The Euphrates,D McMonagle,0,A P O'Brien,6th,1/2 l,3,9-2v,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Keeper's Heart (IRE),C T Keane,0,G M Lyons,5th,6 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Matsuri,James Doyle,0,R Varian,4th,Neck,3,9-2h,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Ambiente Friendly (IRE),R Havlin,0,J R Fanshawe,3rd,1/2 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Sunway (FR),Oisin Murphy,0,D Menuisier,2nd,3/4 l,3,9-2t,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Los Angeles (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Euphoric,D P McDonogh,0,A P O'Brien,8th,4 1/4 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Grosvenor Square (IRE),W M Lordan,0,A P O'Brien,7th,1 1/2 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,The Euphrates,D McMonagle,0,A P O'Brien,6th,1/2 l,3,9-2v,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Keeper's Heart (IRE),C T Keane,0,G M Lyons,5th,6 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Matsuri,James Doyle,0,R Varian,4th,Neck,3,9-2h,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Ambiente Friendly (IRE),R Havlin,0,J R Fanshawe,3rd,1/2 l,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Sunway (FR),Oisin Murphy,0,D Menuisier,2nd,3/4 l,3,9-2t,-,True,125,6
Curragh Racing Results | 30th June 2024 16:05,N/A,16:05,Good,1m 4f,Los Angeles (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-2,-,True,125,6
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Brains (IRE),M W Hassett,5,R Donohoe,15th,20 l,8,8-7tb,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Morse (IRE),N G McCullagh,0,Charles Weld,14th,Nose,4,8-8,80,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Cheers Again,D McMonagle,0,P W Flynn,13th,1 3/4 l,5,9-4,90,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Casanova,Adam Caffrey,3,A McGuinness,12th,3/4 l,8,9-1,87,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Concluding Call (IRE),N M Crosse,0,W McCreery,11th,Short Head,4,8-7,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Coeur d'Or (IRE),C D Hayes,0,D K Weld,10th,Neck,8,10-0t,100,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Physique (IRE),Oisin Murphy,0,M Fenton,9th,Neck,4,8-13h,85,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Benavente,W M Lordan,0,Kevin Coleman,8th,3/4 l,6,8-8,80,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Shayzann (IRE),B M Coen,0,J P Murtagh,7th,Neck,4,9-7t1,93,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Blues Emperor (IRE),R M Mulligan,7,J P Murtagh,6th,1/2 l,5,9-9,95,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,May Night,John Velazquez,0,D Hogan,5th,1 l,6,8-7p,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,State Actor (IRE),C T Keane,0,W T Farrell,4th,2 1/2 l,4,9-8,94,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Verhoyen,D E Sheehy,0,M C Grassick,3rd,2 l,9,8-10b,82,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,No More Porter (IRE),R P Whelan,0,A McGuinness,2nd,3/4 l,6,8-10t,82,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Booyea (IRE),G M Ryan,0,T Gibney,1st,N/A,4,9-2,88,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Brains (IRE),M W Hassett,5,R Donohoe,15th,20 l,8,8-7tb,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Morse (IRE),N G McCullagh,0,Charles Weld,14th,Nose,4,8-8,80,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Cheers Again,D McMonagle,0,P W Flynn,13th,1 3/4 l,5,9-4,90,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Casanova,Adam Caffrey,3,A McGuinness,12th,3/4 l,8,9-1,87,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Concluding Call (IRE),N M Crosse,0,W McCreery,11th,Short Head,4,8-7,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Coeur d'Or (IRE),C D Hayes,0,D K Weld,10th,Neck,8,10-0t,100,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Physique (IRE),Oisin Murphy,0,M Fenton,9th,Neck,4,8-13h,85,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Benavente,W M Lordan,0,Kevin Coleman,8th,3/4 l,6,8-8,80,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Shayzann (IRE),B M Coen,0,J P Murtagh,7th,Neck,4,9-7t1,93,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Blues Emperor (IRE),R M Mulligan,7,J P Murtagh,6th,1/2 l,5,9-9,95,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,May Night,John Velazquez,0,D Hogan,5th,1 l,6,8-7p,79,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,State Actor (IRE),C T Keane,0,W T Farrell,4th,2 1/2 l,4,9-8,94,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Verhoyen,D E Sheehy,0,M C Grassick,3rd,2 l,9,8-10b,82,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,No More Porter (IRE),R P Whelan,0,A McGuinness,2nd,3/4 l,6,8-10t,82,True,125,7
Curragh Racing Results | 30th June 2024 16:40,N/A,16:40,Good,1m,Booyea (IRE),G M Ryan,0,T Gibney,1st,N/A,4,9-2,88,True,125,7
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Vasda (IRE),D P McDonogh,0,J P O'Brien,16th,1/2 l,4,9-7t1,90,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Talia (IRE),W M Lordan,0,N Lupini,15th,1 1/4 l,4,8-7,74,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Mammas Girl,D Egan,0,A Murray,14th,2 3/4 l,4,10-0t,97,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Gunzburg (IRE),G F Carroll,0,G P Cromwell,13th,3/4 l,3,9-1,93,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Matter Of Fact (IRE),N M Crosse,0,Mrs J Harrington,12th,1/2 l,3,8-7,85,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Karlsberg (IRE),J A Powell,3,S Crawley,11th,Neck,6,8-7,74,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Coumshingaun (IRE),J A Heffernan,0,Kevin Coleman,10th,1 l,5,9-2,85,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Kayhana (IRE),C D Hayes,0,D K Weld,9th,1/2 l,4,9-5,88,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Fast Tara (IRE),D McMonagle,0,J P O'Brien,8th,Short Head,4,9-6t1,89,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Ojw Legacy (IRE),A J Slattery,0,A Slattery,7th,Head,3,8-9,87,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Raknah (IRE),K G Kennedy,7,Mrs J Harrington,6th,1/2 l,3,8-7,85,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Dance Night Andday (IRE),C T Keane,0,R O'Sullivan,5th,Nose,4,9-13,96,True,125,8
Curragh Racing Results | 30th June 2024 17:15,N/A,17:15,Good,7f,Dagoda (IRE),Oisin Murphy,0,Miss Jennifer Anne Lynch,4th,3/4 l,6,8-12,81,True,125,8
