track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,country
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Follow Your Heart (IRE),Billy Loughnane,0,D M Loughnane,1st,,7,9-5t,71,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Wreck It Ryley (IRE),Rhys Clutterbuck,0,A D Brown,10th,5 l,5,9-9v,75,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Count Palatine (IRE),Connor Beasley,0,M Dods,9th,2 3/4 l,4,9-9,75,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Patontheback (IRE),J Mitchell,0,G Tutty,8th,1 3/4 l,7,8-13,65,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Wilde And Dandy,David Probert,0,I Furtado,7th,1 1/4 l,5,8-12,64,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Vibrato (IRE),Lewis Edmunds,0,J Candlish,6th,1 1/2 l,4,9-8,74,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Twilight Diamond,D Tudhope,0,D O'Meara,5th,1 3/4 l,4,9-5t,71,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Chifa (IRE),L Morris,0,E De Giles,4th,1 3/4 l,8,9-3,69,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Angel Of Rain,George Wood,0,James Horton,3rd,Neck,4,9-6,72,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Novello Lad,D Nolan,0,P T Midgley,2nd,1/2 l,4,9-1,67,True,UK
Doncaster Racing Results | 15th June 2025 14:25,,14:25,Good To Firm,7f 6y,Follow Your Heart (IRE),Billy Loughnane,0,D M Loughnane,1st,,7,9-5t,71,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Alfa Patisserie (IRE),David Probert,0,I Furtado,5th,1 1/2 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Hazy Cosmic Jane (IRE),L Morris,0,D Donovan,4th,1 1/2 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Just Call Me Angel,Cieren Fallon,0,E A L Dunlop,3rd,7 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Artanis,Billy Loughnane,0,G Boughey,2nd,4 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Amora Queen (GER),Connor Beasley,0,C Johnston,1st,,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Alfa Patisserie (IRE),David Probert,0,I Furtado,5th,1 1/2 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Hazy Cosmic Jane (IRE),L Morris,0,D Donovan,4th,1 1/2 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Just Call Me Angel,Cieren Fallon,0,E A L Dunlop,3rd,7 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Artanis,Billy Loughnane,0,G Boughey,2nd,4 l,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:00,,15:00,Good To Firm,7f 6y,Amora Queen (GER),Connor Beasley,0,C Johnston,1st,,2,9-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Burlington Place,K T O'Neill,0,Mrs C A Dunnett,9th,82 l,4,9-11,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Rocky Gb,Cam Hardie,0,P A Kirby,8th,1 1/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Garswood Gold,Rhys Clutterbuck,0,C Ellam,7th,28 l,6,10-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Mr Withington (FR),D Nolan,0,Paul Robson,6th,15 l,4,10-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Little Saver (IRE),J Mitchell,0,H Palmer,5th,1 3/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Bomba Del Mundo (IRE),Cieren Fallon,0,H Kobeissi,4th,9 l,3,9-1t,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Bahadur,D Tudhope,0,S Woods,3rd,1 1/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Tarriance,David Probert,0,A M Balding,2nd,Neck,3,9-8,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Gravitas (IRE),Billy Loughnane,0,C Johnston,1st,,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Burlington Place,K T O'Neill,0,Mrs C A Dunnett,9th,82 l,4,9-11,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Rocky Gb,Cam Hardie,0,P A Kirby,8th,1 1/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Garswood Gold,Rhys Clutterbuck,0,C Ellam,7th,28 l,6,10-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Mr Withington (FR),D Nolan,0,Paul Robson,6th,15 l,4,10-2,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Little Saver (IRE),J Mitchell,0,H Palmer,5th,1 3/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Bomba Del Mundo (IRE),Cieren Fallon,0,H Kobeissi,4th,9 l,3,9-1t,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Bahadur,D Tudhope,0,S Woods,3rd,1 1/4 l,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Tarriance,David Probert,0,A M Balding,2nd,Neck,3,9-8,-,True,UK
Doncaster Racing Results | 15th June 2025 15:30,,15:30,Good To Firm,1m 3f 197y,Gravitas (IRE),Billy Loughnane,0,C Johnston,1st,,3,9-1,-,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Savvy Kingdom,Billy Loughnane,0,S Woods,6th,1 1/4 l,4,9-5,76,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Mount King (IRE),Sean Kirrane,0,T D Easterby,5th,1 1/4 l,5,8-10tp,67,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Dutch Decoy,J Mitchell,0,C Johnston,4th,Neck,8,9-6p,77,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Jimmy Speaking,Lewis Edmunds,0,C A Dwyer,3rd,1/2 l,4,9-4,75,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Hale End (IRE),Connor Beasley,0,M Dods,2nd,3/4 l,5,9-3p,74,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Duke's Command,Mark Winn,0,D O'Meara,1st,,4,9-9h1,80,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Savvy Kingdom,Billy Loughnane,0,S Woods,6th,1 1/4 l,4,9-5,76,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Mount King (IRE),Sean Kirrane,0,T D Easterby,5th,1 1/4 l,5,8-10tp,67,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Dutch Decoy,J Mitchell,0,C Johnston,4th,Neck,8,9-6p,77,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Jimmy Speaking,Lewis Edmunds,0,C A Dwyer,3rd,1/2 l,4,9-4,75,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Hale End (IRE),Connor Beasley,0,M Dods,2nd,3/4 l,5,9-3p,74,True,UK
Doncaster Racing Results | 15th June 2025 16:05,,16:05,Good To Firm,7f 213y,Duke's Command,Mark Winn,0,D O'Meara,1st,,4,9-9h1,80,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Morning Angel,D C Costello,0,M Walford,12th,2 l,3,9-3,49,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Mavetheforcebewivu,Rhys Clutterbuck,0,A D Brown,11th,13 l,3,9-2p1,48,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,I Can Boogy,Faye McManoman,0,N Tinkler,10th,2 l,3,9-7,53,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Queen's Palace,Andrew Breslin,3,B Smart,9th,Neck,3,9-0,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sugar Kane,Billy Loughnane,0,D & C Kubler,8th,1 l,3,9-2,48,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sandinyourshoes (IRE),George Wood,0,Mrs Stella Barclay,7th,Neck,3,9-4,50,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Jimmy Henry (IRE),Andrea Pinna,7,M Herrington,6th,Nose,3,9-0p,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Invincible Storm (IRE),L Morris,0,E De Giles,5th,1/2 l,3,9-0,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Miakoda (IRE),Cieren Fallon,0,James Owen,4th,1 3/4 l,3,9-9t,55,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Dolly's Delight (IRE),Lewis Edmunds,0,Miss J A Camacho,3rd,Short Head,3,9-8,54,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Toota (IRE),D Fentiman,0,T D Easterby,2nd,1 1/4 l,3,9-9h,55,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sharon Curly (IRE),O McSweeney,3,R A Fahey,1st,,3,9-7,53,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Morning Angel,D C Costello,0,M Walford,12th,2 l,3,9-3,49,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Mavetheforcebewivu,Rhys Clutterbuck,0,A D Brown,11th,13 l,3,9-2p1,48,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,I Can Boogy,Faye McManoman,0,N Tinkler,10th,2 l,3,9-7,53,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Queen's Palace,Andrew Breslin,3,B Smart,9th,Neck,3,9-0,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sugar Kane,Billy Loughnane,0,D & C Kubler,8th,1 l,3,9-2,48,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sandinyourshoes (IRE),George Wood,0,Mrs Stella Barclay,7th,Neck,3,9-4,50,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Jimmy Henry (IRE),Andrea Pinna,7,M Herrington,6th,Nose,3,9-0p,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Invincible Storm (IRE),L Morris,0,E De Giles,5th,1/2 l,3,9-0,46,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Miakoda (IRE),Cieren Fallon,0,James Owen,4th,1 3/4 l,3,9-9t,55,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Dolly's Delight (IRE),Lewis Edmunds,0,Miss J A Camacho,3rd,Short Head,3,9-8,54,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Toota (IRE),D Fentiman,0,T D Easterby,2nd,1 1/4 l,3,9-9h,55,True,UK
Doncaster Racing Results | 15th June 2025 16:35,,16:35,Good To Firm,7f 6y,Sharon Curly (IRE),O McSweeney,3,R A Fahey,1st,,3,9-7,53,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Pancake,Connor Beasley,0,M Dods,14th,8 l,3,9-6h1,62,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Yorkshire Myth,Lewis Chalkley,7,M & D Easterby,13th,2 l,3,8-12,54,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Triple Charged (IRE),L Morris,0,L Williamson,12th,1 l,3,9-1,57,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Cooramook (IRE),George Wood,0,Harry Eustace,11th,Head,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Rokuni (IRE),K T O'Neill,0,Mrs C A Dunnett,10th,1 l,3,9-51,61,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Bust A Moon,Charlie Bennett,0,I W McInnes,9th,1 l,3,9-9,65,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Spirited Dancer,Billy Loughnane,0,D & C Kubler,8th,1/2 l,3,9-9t1,65,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Memphisatmidnight (IRE),Sean Kirrane,0,T D Easterby,7th,2 3/4 l,3,9-4,60,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Vault Of Heaven (IRE),J Mitchell,0,K Frost,6th,3/4 l,3,9-3,59,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Captain Pickles (IRE),D C Costello,0,Mrs Stella Barclay,5th,Head,3,9-0,56,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Coeur Jaune (IRE),D Tudhope,0,D O'Meara,4th,1/2 l,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Atomic Mass (IRE),Nathan Evans,0,M & D Easterby,3rd,1/2 l,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Alashos (FR),A J Farragher,0,James Horton,2nd,1 1/2 l,3,9-7p,63,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Promise Time,Alex Jary,5,N Tinkler,1st,,3,9-3,59,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Pancake,Connor Beasley,0,M Dods,14th,8 l,3,9-6h1,62,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Yorkshire Myth,Lewis Chalkley,7,M & D Easterby,13th,2 l,3,8-12,54,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Triple Charged (IRE),L Morris,0,L Williamson,12th,1 l,3,9-1,57,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Cooramook (IRE),George Wood,0,Harry Eustace,11th,Head,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Rokuni (IRE),K T O'Neill,0,Mrs C A Dunnett,10th,1 l,3,9-51,61,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Bust A Moon,Charlie Bennett,0,I W McInnes,9th,1 l,3,9-9,65,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Spirited Dancer,Billy Loughnane,0,D & C Kubler,8th,1/2 l,3,9-9t1,65,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Memphisatmidnight (IRE),Sean Kirrane,0,T D Easterby,7th,2 3/4 l,3,9-4,60,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Vault Of Heaven (IRE),J Mitchell,0,K Frost,6th,3/4 l,3,9-3,59,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Captain Pickles (IRE),D C Costello,0,Mrs Stella Barclay,5th,Head,3,9-0,56,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Coeur Jaune (IRE),D Tudhope,0,D O'Meara,4th,1/2 l,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Atomic Mass (IRE),Nathan Evans,0,M & D Easterby,3rd,1/2 l,3,9-8,64,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Alashos (FR),A J Farragher,0,James Horton,2nd,1 1/2 l,3,9-7p,63,True,UK
Doncaster Racing Results | 15th June 2025 17:05,,17:05,Good To Firm,6f 2y,Promise Time,Alex Jary,5,N Tinkler,1st,,3,9-3,59,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Step Along,Lewis Edmunds,0,W Muir & C Grassick,8th,2 l,3,9-9,58,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Novamay,Connor Beasley,0,M Dods,7th,Short Head,3,9-10p1,59,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Pure Artistry (IRE),Cieren Fallon,0,M L W Bell,6th,3/4 l,3,9-8t,57,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Sun Keeper,K T O'Neill,0,Alice Haynes,5th,1/2 l,3,9-8t,57,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Love Rock (IRE),Billy Loughnane,0,I Mohammed,4th,Head,3,9-7,56,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Master Zack,A J Farragher,0,Martin Dunne,3rd,1 1/4 l,3,9-3ht,52,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Wee Mary (IRE),D Tudhope,0,R Menzies,2nd,1/2 l,3,9-7h,56,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Solar Biricz (IRE),Ben Robinson,0,B Ellison,1st,,3,9-9,58,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Step Along,Lewis Edmunds,0,W Muir & C Grassick,8th,2 l,3,9-9,58,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Novamay,Connor Beasley,0,M Dods,7th,Short Head,3,9-10p1,59,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Pure Artistry (IRE),Cieren Fallon,0,M L W Bell,6th,3/4 l,3,9-8t,57,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Sun Keeper,K T O'Neill,0,Alice Haynes,5th,1/2 l,3,9-8t,57,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Love Rock (IRE),Billy Loughnane,0,I Mohammed,4th,Head,3,9-7,56,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Master Zack,A J Farragher,0,Martin Dunne,3rd,1 1/4 l,3,9-3ht,52,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Wee Mary (IRE),D Tudhope,0,R Menzies,2nd,1/2 l,3,9-7h,56,True,UK
Doncaster Racing Results | 15th June 2025 17:37,,17:37,Good To Firm,5f 3y,Solar Biricz (IRE),Ben Robinson,0,B Ellison,1st,,3,9-9,58,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Kaleidoscope Eyes (IRE),Alfie Gee,7,Harry Eustace,NR,,3,9-4,59,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Blue Empress (IRE),Poppy Scott,5,A Watson,10th,Neck,3,9-10p,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Enchanted Way,Ashley Lewis,0,A Watson,9th,Short Head,3,9-9b,64,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Mister Mcgregor (IRE),Alfie Redman,3,A M Balding,8th,3/4 l,3,9-13,68,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Jersey Maverick (IRE),Jack Dace,0,C Fellowes,7th,4 l,3,9-11p,66,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Silca Bay,Oliver Carmichael,3,Eve Johnson Houghton,6th,1 l,3,9-12,67,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Saidha,Alicia Perkins,5,M D I Usher,5th,3 3/4 l,3,9-10,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Amor Cordis (IRE),Tyrese Cameron,0,W Greatrex,4th,Neck,3,9-10p,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Play Me,Donagh Murphy,7,J R Boyle,3rd,1/2 l,3,9-5,60,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Baloo's Blues,Jack Callan,0,C Hills,2nd,2 1/4 l,3,9-10,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Mr Ubiquitous,Jack Nicholls,0,Harry Eustace,1st,,3,9-13,68,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Kaleidoscope Eyes (IRE),Alfie Gee,7,Harry Eustace,NR,,3,9-4,59,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Blue Empress (IRE),Poppy Scott,5,A Watson,10th,Neck,3,9-10p,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Enchanted Way,Ashley Lewis,0,A Watson,9th,Short Head,3,9-9b,64,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Mister Mcgregor (IRE),Alfie Redman,3,A M Balding,8th,3/4 l,3,9-13,68,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Jersey Maverick (IRE),Jack Dace,0,C Fellowes,7th,4 l,3,9-11p,66,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Silca Bay,Oliver Carmichael,3,Eve Johnson Houghton,6th,1 l,3,9-12,67,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Saidha,Alicia Perkins,5,M D I Usher,5th,3 3/4 l,3,9-10,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Amor Cordis (IRE),Tyrese Cameron,0,W Greatrex,4th,Neck,3,9-10p,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Play Me,Donagh Murphy,7,J R Boyle,3rd,1/2 l,3,9-5,60,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Baloo's Blues,Jack Callan,0,C Hills,2nd,2 1/4 l,3,9-10,65,True,UK
Salisbury Racing Results | 15th June 2025 14:15,,14:15,Good To Firm (Good In Places),6f 213y,Mr Ubiquitous,Jack Nicholls,0,Harry Eustace,1st,,3,9-13,68,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Beatrice Shilling (IRE),Daniel Muscutt,0,K P De Foy,5th,12 l,4,9-9tp1,72,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Hoornblower,Rossa Ryan,0,D J Coakley,4th,5 l,6,9-4,67,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Chourmo,J F Egan,0,Mark Gillard,3rd,3 1/4 l,5,9-0,63,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Magical Merlin (IRE),Millie Wonnacott,5,Harry Charlton,2nd,1/2 l,5,9-8p,71,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Hover (IRE),Harry Davies,0,M Meade,1st,,8,9-7,70,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Beatrice Shilling (IRE),Daniel Muscutt,0,K P De Foy,5th,12 l,4,9-9tp1,72,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Hoornblower,Rossa Ryan,0,D J Coakley,4th,5 l,6,9-4,67,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Chourmo,J F Egan,0,Mark Gillard,3rd,3 1/4 l,5,9-0,63,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Magical Merlin (IRE),Millie Wonnacott,5,Harry Charlton,2nd,1/2 l,5,9-8p,71,True,UK
Salisbury Racing Results | 15th June 2025 14:50,,14:50,Good To Firm (Good In Places),1m,Hover (IRE),Harry Davies,0,M Meade,1st,,8,9-7,70,True,UK
Salisbury Racing Results | 15th June 2025 15:23,,15:23,Good To Firm (Good In Places),1m 1f 201y,Graecia (IRE),Rob Hornby,0,C E Longsdon,7th,13 l,4,9-9t,73,True,UK
Salisbury Racing Results | 15th June 2025 15:23,,15:23,Good To Firm (Good In Places),1m 1f 201y,Sunny Corner,Rossa Ryan,0,W S Kittow,6th,2 3/4 l,4,9-5,69,True,UK
